91058 valid sequences out of 91143 
64 sites
Effective number of samples: 36732.3	(80% identical neighborhood = 1.000 samples)
iter	time	cond	fx	-loglk	||h||	||e||
1	16.3	1279.43	4046991.1	4046833.8	75.7	1.0
2	24.5	2746.00	3866053.1	3858890.1	75.6	8.4
3	32.8	1987.32	3714722.4	3700595.9	75.6	11.9
4	41.0	794.00	3640291.7	3627195.6	75.6	11.4
5	49.3	592.94	3618573.1	3605431.8	75.6	11.4
6	57.6	637.07	3597164.7	3582531.6	75.6	12.1
7	65.9	921.32	3542405.8	3518590.7	75.6	15.4
8	82.4	853.79	3522147.3	3492433.2	75.6	17.2
9	90.6	498.32	3504219.4	3469754.8	75.5	18.5
10	98.9	422.30	3486274.4	3445884.8	75.5	20.1
11	107.2	595.36	3467788.0	3420848.5	75.5	21.7
12	115.5	757.31	3450190.0	3391863.9	75.5	24.1
13	123.8	391.31	3435183.6	3375532.9	75.5	24.4
14	132.0	344.06	3426239.8	3367977.6	75.5	24.1
15	140.3	382.66	3416722.1	3359100.6	75.5	24.0
16	148.6	612.38	3403686.6	3343431.5	75.5	24.5
17	156.9	343.03	3391567.8	3327458.7	75.5	25.3
18	165.2	284.77	3384094.6	3317342.2	75.5	25.8
19	173.4	394.15	3374277.4	3300788.1	75.5	27.1
20	181.7	714.13	3372081.2	3291692.8	75.5	28.3
21	190.0	287.44	3364422.1	3285363.1	75.5	28.1
22	198.5	203.87	3359545.1	3279537.8	75.5	28.3
23	206.8	282.83	3353937.1	3270593.6	75.5	28.9
24	215.1	333.70	3346806.3	3257196.1	75.5	29.9
25	231.6	338.51	3342738.6	3248137.7	75.5	30.7
26	239.9	180.60	3338630.1	3240011.0	75.5	31.4
27	248.2	204.31	3335430.8	3233923.9	75.5	31.9
28	256.5	258.10	3331965.5	3226657.5	75.5	32.4
29	264.8	256.79	3328292.8	3217908.3	75.5	33.2
30	273.1	159.10	3325151.2	3213491.1	75.5	33.4
31	281.4	174.83	3321782.5	3208000.7	75.5	33.7
32	289.7	219.50	3319554.3	3203151.9	75.5	34.1
33	298.0	152.57	3317103.6	3197348.5	75.5	34.6
34	306.3	150.73	3315213.7	3192608.2	75.5	35.0
35	314.6	149.98	3313597.2	3187848.2	75.5	35.5
36	322.9	134.86	3312261.8	3184603.8	75.5	35.7
37	331.2	112.63	3310632.2	3179457.5	75.5	36.2
38	339.5	169.15	3309741.1	3176224.8	75.5	36.5
39	347.8	102.45	3308787.3	3174117.6	75.5	36.7
40	356.1	93.26	3307675.5	3170874.2	75.5	37.0
41	364.3	110.18	3306773.1	3167841.5	75.5	37.3
42	372.6	158.14	3305812.3	3162364.2	75.5	37.9
43	380.9	95.92	3304988.6	3161638.3	75.5	37.9
44	389.2	93.77	3304461.0	3161592.5	75.5	37.8
45	397.5	113.59	3303602.3	3160549.0	75.5	37.8
46	414.1	133.08	3303075.8	3159134.4	75.5	37.9
47	422.4	82.85	3302498.7	3157689.5	75.5	38.0
48	430.7	66.28	3301898.1	3156187.6	75.5	38.2
49	439.0	109.12	3301424.9	3155094.4	75.5	38.2
50	447.3	72.96	3300913.9	3154407.4	75.5	38.3
51	455.6	61.40	3300493.9	3154367.2	75.5	38.2
52	463.9	82.19	3300132.7	3154826.5	75.5	38.1
53	472.2	71.18	3299739.0	3155038.5	75.5	38.0
54	480.5	75.23	3299216.4	3155239.9	75.5	37.9
55	488.8	135.24	3299038.9	3155717.6	75.5	37.9
56	497.1	49.73	3298716.7	3155195.0	75.5	37.9
57	505.4	40.35	3298582.5	3154967.8	75.5	37.9
58	513.6	45.66	3298416.8	3154857.8	75.5	37.9
59	521.9	56.61	3298176.5	3154860.6	75.5	37.8
60	538.5	65.70	3298013.2	3154955.7	75.5	37.8
61	546.8	36.79	3297841.2	3155064.9	75.5	37.8
62	555.1	33.16	3297692.9	3155164.5	75.5	37.7
63	563.4	50.68	3297568.1	3155293.3	75.5	37.7
64	571.8	40.85	3297461.3	3155354.4	75.5	37.7
65	580.1	30.71	3297378.9	3155263.8	75.5	37.7
66	588.5	36.39	3297272.3	3155162.9	75.5	37.7
67	596.8	34.70	3297194.9	3155138.5	75.5	37.7
68	605.1	32.24	3297098.7	3155141.1	75.5	37.7
69	613.4	75.75	3297062.0	3155258.5	75.5	37.6
70	621.7	21.66	3296957.2	3155169.2	75.5	37.6
71	629.9	18.06	3296929.0	3155131.1	75.5	37.6
72	638.2	23.53	3296873.8	3155079.7	75.5	37.6
73	646.5	53.05	3296833.1	3155027.5	75.5	37.6
74	654.9	27.31	3296769.0	3154966.6	75.5	37.6
75	663.2	20.20	3296707.8	3154898.0	75.5	37.7
76	671.5	21.30	3296666.2	3154831.0	75.5	37.7
77	679.8	60.82	3296646.6	3154712.3	75.5	37.7
78	688.1	18.46	3296583.0	3154622.9	75.5	37.7
79	696.4	15.57	3296560.8	3154572.5	75.5	37.7
80	704.6	20.59	3296527.9	3154458.8	75.5	37.7
81	712.9	36.41	3296486.8	3154258.7	75.5	37.7
82	721.2	19.68	3296441.1	3154029.8	75.5	37.7
83	729.5	13.79	3296413.2	3153912.6	75.5	37.7
84	737.7	19.25	3296382.5	3153741.2	75.5	37.8
85	746.0	28.49	3296363.1	3153537.9	75.5	37.8
86	754.3	17.62	3296338.1	3153450.7	75.5	37.8
87	762.6	16.40	3296304.3	3153258.0	75.5	37.8
88	770.9	20.46	3296281.2	3153075.3	75.5	37.8
89	779.2	27.44	3296246.2	3152621.5	75.5	37.9
90	787.5	17.55	3296215.9	3152447.2	75.5	37.9
91	795.8	17.04	3296192.5	3152316.5	75.5	37.9
92	804.1	19.69	3296170.0	3152133.9	75.5	37.9
93	812.4	19.72	3296141.5	3151819.5	75.5	38.0
94	820.6	16.29	3296117.3	3151621.5	75.5	38.0
95	828.9	18.57	3296085.4	3151332.6	75.5	38.0
96	837.2	20.49	3296054.5	3151065.4	75.5	38.1
97	845.5	20.66	3296020.4	3150765.1	75.5	38.1
98	853.8	26.73	3295994.9	3150424.1	75.5	38.1
99	862.1	14.81	3295973.8	3150431.2	75.5	38.1
100	870.5	15.93	3295951.8	3150384.0	75.5	38.1
101	878.8	19.98	3295924.1	3150192.5	75.5	38.2
102	887.1	30.43	3295883.5	3149892.7	75.5	38.2
103	895.5	24.09	3295842.7	3149404.7	75.5	38.3
104	903.8	16.39	3295811.4	3149304.9	75.5	38.3
105	912.0	22.36	3295768.7	3149145.3	75.5	38.3
106	920.3	26.00	3295743.6	3149033.2	75.5	38.3
107	928.6	21.49	3295711.4	3148936.9	75.5	38.3
108	936.9	42.24	3295661.4	3148777.1	75.6	38.3
109	945.2	26.18	3295615.6	3148662.3	75.6	38.3
110	953.5	17.92	3295594.3	3148682.7	75.6	38.3
111	961.8	14.08	3295546.6	3148690.2	75.6	38.3
112	970.1	38.50	3295520.9	3148647.5	75.6	38.3
113	978.4	23.14	3295486.3	3148601.3	75.6	38.3
114	986.6	17.52	3295445.4	3148517.3	75.6	38.3
115	994.9	20.92	3295411.3	3148455.8	75.6	38.3
116	1003.2	49.76	3295384.8	3148440.2	75.7	38.3
117	1011.5	21.29	3295335.6	3148403.7	75.7	38.3
118	1019.8	17.39	3295301.4	3148414.2	75.7	38.3
119	1028.1	21.22	3295268.1	3148435.0	75.7	38.3
120	1036.4	28.25	3295215.7	3148441.4	75.7	38.3
121	1044.7	32.67	3295181.7	3148466.9	75.7	38.3
122	1053.0	14.90	3295146.0	3148405.7	75.7	38.3
123	1061.3	20.31	3295117.3	3148345.9	75.7	38.3
124	1069.5	26.08	3295079.1	3148284.6	75.7	38.3
125	1077.9	47.68	3295012.0	3148190.5	75.8	38.3
126	1086.2	31.11	3294947.9	3148103.2	75.8	38.3
127	1094.5	18.27	3294908.5	3148086.2	75.8	38.3
128	1102.7	19.45	3294864.0	3148073.0	75.9	38.3
129	1111.0	24.83	3294828.9	3148045.0	75.9	38.3
130	1119.3	20.75	3294773.5	3147982.9	75.9	38.3
131	1127.6	19.15	3294712.9	3147900.0	76.0	38.3
132	1135.9	49.39	3294676.1	3147816.6	76.1	38.3
133	1144.2	19.94	3294617.0	3147751.2	76.1	38.3
134	1152.5	18.88	3294587.7	3147729.7	76.1	38.3
135	1160.8	25.63	3294530.4	3147678.4	76.1	38.3
136	1169.1	55.70	3294518.6	3147680.9	76.2	38.3
137	1177.4	19.53	3294461.6	3147614.3	76.2	38.3
138	1185.7	15.63	3294437.6	3147586.9	76.2	38.3
139	1194.0	18.82	3294405.5	3147554.4	76.3	38.3
140	1202.3	19.25	3294355.9	3147515.3	76.3	38.3
141	1218.8	32.13	3294327.4	3147502.7	76.4	38.3
142	1227.1	16.89	3294282.2	3147478.5	76.5	38.3
143	1235.4	17.01	3294251.7	3147473.4	76.5	38.3
144	1243.7	29.42	3294221.8	3147494.0	76.5	38.3
145	1252.0	16.25	3294194.9	3147489.5	76.5	38.3
146	1260.3	15.62	3294177.6	3147486.9	76.5	38.3
147	1268.6	19.19	3294149.7	3147498.9	76.5	38.3
